vid,score,lengh,w,h
k3104qiv8yc,2,2449.0,864.0,486.0
o3113b3qid4,2,711.0,540.0,960.0
x3121lg4kwn,2,718.0,540.0,960.0
e14354tqlg9,2,2196.0,486.0,864.0
n3117n4s79e,2,565.0,486.0,864.0
l3114rwdwf2,2,1063.0,486.0,864.0
r3120ab4v8f,2,748.0,486.0,864.0
z0978g2wrc1,2,1597.0,864.0,486.0
o3150pgg9s6,2,6020.0,864.0,486.0
c31023vr195,2,1624.0,864.0,486.0
x3078jbz9kn,2,1557.0,864.0,486.0
v3146tedknh,2,483.0,540.0,960.0
m3136i7hp90,2,690.0,486.0,864.0
g3106mfx83g,2,188.0,486.0,864.0
n3104c2ba2x,2,1558.0,864.0,486.0
f3147v0bwym,2,1558.0,864.0,486.0
x3080g5ntdj,2,1654.0,864.0,486.0
x3102lzxkc3,2,1074.0,486.0,864.0
k3103fq5mzn,2,936.0,486.0,864.0
h3106v22vhj,2,1559.0,864.0,486.0
f3100gwev6a,2,1548.0,864.0,486.0
v3134j4zkra,2,519.0,486.0,864.0
g3110yx1w5x,2,538.0,540.0,960.0
v311830nb85,2,546.0,540.0,960.0
l3110nf6w2p,2,320.0,486.0,864.0
p0976jd0y6v,2,914.0,486.0,864.0
v3116law3ws,2,592.0,540.0,960.0
p0976nl6htb,2,4741.0,864.0,486.0
e3082hhfnmt,2,1398.0,394.0,864.0
g3103rlv5vt,2,845.0,540.0,960.0
t3133qxrnud,2,664.0,486.0,864.0
u0034ihs82y,2,2017.0,486.0,864.0
k0977jkebpc,2,634.0,486.0,864.0
r3106nnwal5,2,1570.0,864.0,486.0
h0975vrxzvv,2,1077.0,540.0,960.0
n3119vus8se,2,2008.0,486.0,864.0
e0975ph3zm4,2,634.0,486.0,864.0
q3118w7zyke,2,344.0,486.0,864.0
x3114yhxuef,2,272.0,540.0,960.0
f3143r7vhen,2,1542.0,864.0,486.0
g3105eoxvca,2,1054.0,540.0,960.0
m31021n352g,2,216.0,540.0,960.0
c3106pcj7oy,2,276.0,432.0,864.0
u3102xpo4ob,2,1124.0,540.0,950.0
r3081oxdt05,2,1012.0,540.0,960.0
o3109cd42um,2,330.0,540.0,960.0
z0976sdodz1,2,379.0,486.0,864.0
v3082zmt371,2,384.0,540.0,960.0
j3081vhx88j,2,376.0,486.0,864.0
e3138mzjzaz,2,418.0,486.0,864.0
k3115pd07mz,2,1145.0,540.0,960.0
a3133jimqad,2,4999.0,486.0,864.0
x0976867qfu,2,746.0,540.0,960.0
i3152gf162t,2,1428.0,540.0,960.0
r3102peo1c8,2,348.0,486.0,858.0
o3108rfaw1o,2,966.0,486.0,864.0
w3122307g2a,2,646.0,540.0,960.0
r3138ghk8fl,2,1642.0,864.0,486.0
r3136oemuph,2,243.0,486.0,864.0
y3119swaxmo,2,625.0,540.0,960.0
y3122m0z5ze,2,793.0,486.0,864.0
r3082lbuzui,2,653.0,540.0,960.0
a0977xvecbf,2,457.0,540.0,960.0
a31061evc2g,2,322.0,540.0,960.0
j3135gsmwy4,2,5372.0,864.0,486.0
z3105ia6ipj,2,1264.0,486.0,864.0
p31095aq575,2,4291.0,864.0,486.0
s3135pfatj7,2,1537.0,864.0,486.0
p3119pwl4dc,2,574.0,486.0,864.0
b3137qsv6r0,2,1289.0,486.0,864.0
j3111t7yrxj,2,377.0,540.0,960.0
k0975g3aw92,2,2232.0,864.0,486.0
s31404bczsf,2,376.0,522.0,960.0
b0980d56yph,2,1163.0,540.0,960.0
u3114tevzm7,2,404.0,486.0,864.0
x314960vh7r,2,375.0,486.0,864.0
i0976t27ffb,2,1417.0,540.0,960.0
a3079r3rrwa,2,1442.0,540.0,960.0
z3146ljjtjb,2,1392.0,486.0,864.0
u31433zz57f,2,1536.0,864.0,486.0
o31415fcsb6,2,1010.0,486.0,864.0
y31350i3gwe,2,1888.0,534.0,960.0
a31090a93ek,2,206.0,486.0,864.0
z0977gzgwwq,2,1106.0,540.0,960.0
l3112eq70hh,2,262.0,486.0,850.0
h0978dy7zmy,2,1540.0,864.0,486.0
l09778jp1hz,2,543.0,486.0,864.0
f3106ys50xq,2,278.0,486.0,864.0
g3104le0mpi,2,643.0,486.0,864.0
v31057cu9r5,2,352.0,540.0,960.0
m0975o9yzp7,2,745.0,486.0,864.0
f308223rk6l,2,568.0,540.0,960.0
f31291viit7,2,338.0,486.0,864.0
k3137p56y7u,2,1217.0,486.0,864.0
l314280m9ip,2,268.0,486.0,864.0
n3100v4zadu,2,1629.0,864.0,486.0
r3154ykk1u2,2,510.0,486.0,864.0
c312051tr0y,2,1032.0,540.0,960.0
x3137c4wkfo,2,1805.0,486.0,864.0
a3081c83mdv,2,1186.0,864.0,486.0
q3118zq7bsz,2,2132.0,864.0,486.0
d09806ws39w,2,2031.0,864.0,486.0
n3101mx8vy7,2,2210.0,864.0,486.0
x3110tmpvzl,2,429.0,540.0,960.0
g0976v0lx2t,2,2683.0,864.0,486.0
w31517maxf8,2,1045.0,486.0,864.0
u308142tvoj,2,1030.0,540.0,960.0
g3105arn406,2,838.0,486.0,864.0
w3121lh8kz8,2,794.0,486.0,864.0
r3137zfw5v8,2,1608.0,864.0,486.0
g3107l3hdn6,2,362.0,486.0,864.0
u3120ioczuo,2,383.0,486.0,864.0
i31501tevkf,2,1546.0,864.0,486.0
p0976cf0fvn,2,1567.0,864.0,486.0
t31005fry8k,2,1548.0,864.0,486.0
p3142w872ud,2,998.0,486.0,864.0
e3146ua68cu,2,252.0,486.0,864.0
i30806xfrt2,2,257.0,486.0,864.0
p0978w1el6q,2,252.0,486.0,864.0
z315400wwnb,2,768.0,486.0,864.0
w0976m4h1sz,2,2515.0,864.0,486.0
k3106q1ffnz,2,1451.0,540.0,960.0
m3080yc4tps,2,303.0,486.0,864.0
e3110jl6up2,2,373.0,486.0,864.0
d3135u2e94a,2,426.0,486.0,864.0
y3138qkt01s,2,458.0,486.0,864.0
p3107fsxc5e,2,259.0,486.0,864.0
k0034lnd2ux,2,1482.0,486.0,864.0
n3114s0ylwv,2,622.0,540.0,960.0
o31085o1r4b,2,503.0,540.0,960.0
b0980vvd137,2,2470.0,486.0,864.0
f3107sepvzq,2,925.0,486.0,864.0
f3082twbk8o,2,293.0,540.0,960.0
x30807vgr7r,2,361.0,486.0,864.0
p310126qmxe,2,276.0,486.0,864.0
e30819vusy1,2,1502.0,540.0,960.0
c31382cn9rc,2,1386.0,486.0,864.0
i31157vdlv9,2,1247.0,540.0,960.0
e3108czxpjx,2,544.0,486.0,858.0
q31085625c3,2,890.0,864.0,486.0
n307978j6nf,2,610.0,486.0,864.0
i0976l8k0q3,2,526.0,486.0,864.0
t310238jles,2,544.0,486.0,864.0
i09767rah03,2,378.0,540.0,960.0
u3118xupi4o,2,997.0,540.0,960.0
q31394ac4tq,2,2718.0,484.0,864.0
h3127s31rw2,2,1788.0,486.0,864.0
y31081ivo55,2,1501.0,864.0,486.0
b09762vpq9a,2,561.0,540.0,960.0
h0034jxljk4,2,1162.0,486.0,864.0
y3114qh53y9,2,1341.0,540.0,960.0
q3154ca7oz1,2,1618.0,864.0,486.0
p3149m7ytnz,2,1436.0,486.0,864.0
w3117laxp4q,2,269.0,486.0,864.0
d3137i0ron1,2,1318.0,486.0,864.0
f3117kavfra,2,675.0,540.0,960.0
g31032kxq07,2,244.0,486.0,864.0
x3103j0k43e,2,460.0,540.0,960.0
m3111w72b3p,2,550.0,540.0,960.0
j3149zilnws,2,392.0,486.0,864.0
t097816spgu,2,902.0,540.0,960.0
m0979om8av1,2,925.0,486.0,864.0
u31034nn2q2,2,1561.0,864.0,486.0
c31244ychcr,2,568.0,486.0,864.0
j3114a9ok6l,2,277.0,486.0,864.0
a3108k5p1ey,2,1476.0,486.0,864.0
d3137cvo2ix,2,493.0,486.0,864.0
t3149xdnzxu,2,773.0,540.0,960.0
z3114to2rk2,2,1218.0,864.0,486.0
v3114mu4hlm,2,999.0,486.0,864.0
o09757xaxab,2,1766.0,864.0,486.0
r31364ay3zu,2,5394.0,864.0,486.0
m3081ojof8r,2,645.0,486.0,858.0
e3103ok6ow0,2,915.0,486.0,864.0
v31227jp5dv,2,1305.0,486.0,864.0
r3118xvyec2,2,1193.0,486.0,864.0
k3100f7sklz,2,319.0,486.0,864.0
z3117g9pson,2,688.0,540.0,960.0
q3145uniiff,2,1586.0,864.0,486.0
a0976l1v9i5,2,302.0,540.0,952.0
i31534z3t28,2,1610.0,864.0,486.0
p31153p0q9k,2,777.0,486.0,864.0
b3108o584h6,2,256.0,486.0,864.0
l31005ksrb0,2,1694.0,864.0,486.0
h09753hpek7,2,1747.0,486.0,864.0
y0975h4vdsb,2,533.0,486.0,858.0
n0975reobh6,2,1625.0,864.0,486.0
t3107m3qq6i,2,3749.0,864.0,486.0
a3114vndlna,2,583.0,486.0,864.0
c09756y9wbo,2,1395.0,540.0,960.0
v3110vl6pt8,2,421.0,540.0,960.0
r3127cov1mf,2,736.0,486.0,864.0
p310937t5f0,2,725.0,540.0,960.0
b3114ciqghd,2,17717.0,864.0,486.0
a0975ng52gq,2,713.0,486.0,864.0
f0976mbcp2h,2,1179.0,540.0,960.0
t0977cjy4ad,2,357.0,486.0,864.0
a3079jin8qf,2,827.0,540.0,960.0
e3129cll0lh,2,927.0,486.0,864.0
j0976gp81vx,2,643.0,540.0,960.0
b3102qeorxj,2,1487.0,864.0,486.0
y3142cwi83b,2,483.0,486.0,864.0
b3103u2ahth,2,830.0,486.0,864.0
p31196hlqll,2,1563.0,864.0,486.0
g3103002pg0,2,318.0,486.0,864.0
v3151n0cje4,2,783.0,486.0,864.0
v3079usi42x,2,1718.0,864.0,486.0
d0977dyvn98,2,840.0,864.0,486.0
v3101z1mtfy,2,1030.0,540.0,960.0
p3101zcqrb2,2,303.0,486.0,864.0
p31228pwzss,2,499.0,486.0,864.0
y098042cr2d,2,643.0,540.0,960.0
z3120tha2wv,2,1638.0,864.0,486.0
w3106islce2,2,292.0,540.0,960.0
q0976kdn7xz,2,1068.0,540.0,960.0
s308127zib0,2,529.0,486.0,864.0
o31133kiyqr,2,324.0,486.0,864.0
b3105vl4qcb,2,342.0,486.0,864.0
v3142jb32nl,2,1520.0,864.0,486.0
u3081w4xus7,2,794.0,486.0,864.0
e3111r9mnab,2,1516.0,864.0,486.0
a3141fenf6h,2,477.0,486.0,864.0
r3114nyncjf,2,349.0,486.0,864.0
n31054nuozt,2,2815.0,864.0,486.0
u3121hzih4v,2,699.0,540.0,960.0
t0034hfryvb,2,900.0,486.0,864.0
e31123lts7h,2,417.0,486.0,864.0
u3107itz5gt,2,1615.0,864.0,486.0
t3081x47buo,2,868.0,486.0,864.0
e3117ru4gmb,2,1313.0,486.0,864.0
k3123zsrzu6,2,2418.0,486.0,864.0
r31112j4524,2,586.0,540.0,960.0
c0977z67f23,2,532.0,540.0,960.0
w09791qjh1m,2,1411.0,864.0,486.0
l3110o5ri14,2,230.0,486.0,864.0
y3101htdkzt,2,2064.0,486.0,864.0
v31526bdgex,2,343.0,486.0,864.0
y3078jjdz90,2,7790.0,864.0,486.0
h3133zh7t18,2,1169.0,540.0,960.0
y30780t7o4e,2,694.0,486.0,864.0
s3104snjspd,2,3076.0,864.0,486.0
l3081qje5hi,2,213.0,540.0,960.0
v3101xfzirx,2,1578.0,864.0,486.0
w31062egedl,2,818.0,486.0,864.0
k0978ftwqst,2,1516.0,864.0,486.0
d31038egi1c,2,762.0,540.0,960.0
a3100antsra,2,2345.0,864.0,486.0
l3152h8hdp4,2,1553.0,864.0,486.0
g3141w8vtxl,2,3080.0,864.0,486.0
b097859vpyv,2,673.0,540.0,960.0
s3117wmgf5z,2,1308.0,540.0,960.0
w3115ytg8cz,2,721.0,486.0,648.0
z31180zpyf7,2,934.0,864.0,486.0
s3123odpwf1,2,746.0,540.0,960.0
y312530x61t,2,298.0,540.0,960.0
r31121fcpyf,2,1564.0,864.0,486.0
h31367yq0wr,2,306.0,486.0,864.0
q31176obchj,2,1597.0,486.0,864.0
e3079mod2cu,2,2217.0,540.0,960.0
p31109rjm84,2,445.0,540.0,960.0
k31167fi2p2,2,1237.0,486.0,864.0
x3135qg5z7p,2,827.0,486.0,864.0
y30815j9wo5,2,566.0,486.0,864.0
f3123gah4qw,2,333.0,540.0,960.0
o3122tesqwn,2,862.0,540.0,960.0
j3105y6y1jv,2,815.0,486.0,864.0
n31153atd62,2,758.0,540.0,960.0
j3105gy467u,2,1027.0,864.0,486.0
y3107qu9p1a,2,652.0,540.0,960.0
m3151e3q388,2,568.0,486.0,864.0
r3100bkfls5,2,558.0,538.0,960.0
c3102q025nw,2,297.0,540.0,960.0
f3103qosq6w,2,417.0,486.0,864.0
b30805yb225,2,503.0,486.0,864.0
w31052fe2ti,2,538.0,540.0,960.0
m0978j5kdfg,2,978.0,540.0,960.0
w3105rmi3nf,2,416.0,540.0,960.0
o3116p0plvd,2,409.0,540.0,960.0
m3113fu6fbx,2,841.0,486.0,864.0
v3116hlpppx,2,1700.0,400.0,864.0
h0034prljwp,2,1404.0,486.0,862.0
f0034xwpzm5,2,2235.0,864.0,486.0
z31229huh6x,2,355.0,540.0,960.0
c3081unyf4y,2,844.0,486.0,864.0
k3152na1cub,2,2353.0,486.0,864.0
q3115gekafv,2,1343.0,540.0,960.0
n3112xlofav,2,937.0,486.0,864.0
n3113nwgjeq,2,369.0,486.0,864.0
a3100u142bv,2,1619.0,864.0,486.0
x311549gyl8,2,788.0,540.0,960.0
h310820tse4,2,388.0,540.0,960.0
r31470ye0p9,2,4292.0,864.0,486.0
m308190zjcc,2,348.0,540.0,960.0
x3137inzzfx,2,1615.0,864.0,486.0
t0976mrl25x,2,423.0,540.0,960.0
e31449qzt71,2,750.0,486.0,864.0
v31196st9ol,2,436.0,486.0,864.0
l31092sqdf8,2,503.0,486.0,864.0
e00345ysoow,2,950.0,864.0,486.0
i3135gv7l5d,2,333.0,540.0,960.0
m3113r5yzvs,2,1158.0,486.0,864.0
l3112lyhfyu,2,686.0,540.0,960.0
k31393li6m4,2,351.0,522.0,960.0
b0976cayp2d,2,277.0,486.0,864.0
k3143ttlp2e,2,1578.0,864.0,486.0
y3129m6djbm,2,911.0,540.0,960.0
p3219ac6vnc,2,5261.0,864.0,486.0
z31110y7rev,2,361.0,486.0,864.0
m3114u5ezrf,2,1084.0,484.0,864.0
k3108o077al,2,849.0,486.0,864.0
e3118uc8los,2,562.0,486.0,864.0
p30822vmd6p,2,896.0,540.0,960.0
q31277q6710,2,464.0,486.0,864.0
w3080k5zahh,2,312.0,486.0,864.0
u3129o4a3qc,2,2656.0,864.0,486.0
i3108b8klis,2,813.0,540.0,960.0
y3101mau00g,2,269.0,486.0,864.0
j3106k1pbol,2,1791.0,864.0,486.0
d3107751fm4,2,1348.0,486.0,864.0
m3106562w59,2,1566.0,864.0,486.0
r3104mtau8s,2,346.0,486.0,864.0
n0980941w2j,2,1400.0,486.0,864.0
q3124amlqmb,2,637.0,486.0,864.0
j3117ylhtyv,2,280.0,540.0,960.0
g3107r9ae6n,2,1555.0,864.0,486.0
j0975uf9rd2,2,1643.0,864.0,486.0
s3117tgy27b,2,345.0,540.0,960.0
u0976myma36,2,483.0,540.0,960.0
c3112rzj6xi,2,518.0,486.0,864.0
z3102txbkkc,2,256.0,486.0,864.0
h3151owp66e,2,806.0,486.0,864.0
j31380zh7ni,2,2031.0,864.0,486.0
n09773li2m1,2,667.0,540.0,960.0
y31189msj2v,2,472.0,486.0,864.0
f0979ypyqo0,2,2953.0,864.0,486.0
j31135bokj7,2,262.0,540.0,960.0
p0972id8rp2,2,606.0,486.0,864.0
f3142jn7sea,2,1008.0,486.0,864.0
k3119n7m9ji,2,556.0,540.0,960.0
x3116sd0pg5,2,323.0,486.0,864.0
x31428re0bo,2,670.0,540.0,960.0
r30802ndnr2,2,10635.0,864.0,486.0
a310833rd76,2,1719.0,864.0,486.0
q3081fgvpxi,2,413.0,486.0,864.0
p3080fwnx3t,2,3068.0,486.0,864.0
d3100o0jt54,2,1503.0,864.0,486.0
v3078xd7mg0,2,648.0,540.0,960.0
w31013yotdu,2,550.0,486.0,864.0
m31168hdvn5,2,1048.0,864.0,482.0
a3080zrpvdt,2,1538.0,486.0,864.0
w3102o3ccw6,2,905.0,486.0,858.0
b3145ei8res,2,1523.0,864.0,486.0
r3079zyql5l,2,586.0,486.0,864.0
x3112g841st,2,508.0,540.0,960.0
o3078lialxj,2,1593.0,864.0,486.0
w3136ni4eol,2,578.0,486.0,864.0
v0974cljnj3,2,235.0,540.0,960.0
y3147ejip03,2,1270.0,486.0,864.0
w3115zebzb1,2,336.0,486.0,864.0
z31008rrk39,2,311.0,864.0,486.0
i31054knhp9,2,304.0,486.0,864.0
a3119ddlev8,2,1402.0,486.0,864.0
g3125kirvgl,2,1362.0,540.0,952.0
s31019rpuzo,2,1568.0,864.0,486.0
m31115evilu,2,217.0,486.0,864.0
h31070pq7iu,2,279.0,486.0,864.0
n0976xdndl6,2,289.0,486.0,864.0
w31163iq918,2,645.0,540.0,960.0
f31107de7g2,2,398.0,540.0,960.0
r3119h44x5p,2,954.0,540.0,960.0
a0977c4ns6a,2,576.0,486.0,864.0
n09787qwztg,2,287.0,486.0,854.0
e3120ufw78i,2,304.0,540.0,960.0
d31385hg4qy,2,535.0,486.0,864.0
a3116qp2ze0,2,562.0,540.0,960.0
v3143vxbq19,2,295.0,486.0,854.0
l3103tyru69,2,528.0,486.0,864.0
m3153vnzv0h,2,1578.0,864.0,486.0
k3081x01zde,2,948.0,486.0,864.0
h3143x6vldp,2,1541.0,864.0,486.0
w31023kkzyc,2,381.0,486.0,864.0
c3101dv7b9d,2,938.0,540.0,960.0
i3113i4ece8,2,1069.0,540.0,960.0
s3140bj38l3,2,489.0,486.0,864.0
z3109z5flhx,2,1228.0,864.0,486.0
h3105e1hxj7,2,394.0,486.0,864.0
f0034nhq7zx,2,1974.0,864.0,486.0
z0980xkcrhg,2,370.0,486.0,864.0
x3079tfcfoq,2,913.0,540.0,960.0
t3101os91ii,2,31401.0,864.0,478.0
y09751zdt3p,2,1235.0,486.0,864.0
u3124zbn37b,2,650.0,486.0,864.0
e311953bigz,2,254.0,540.0,960.0
s0976c50tir,2,504.0,540.0,960.0
f3148a1c1x0,2,748.0,486.0,864.0
r311490qaq6,2,192.0,486.0,864.0
r3126r6145a,2,1945.0,864.0,486.0
m311769mvam,2,393.0,486.0,864.0
p0977qw76n1,2,748.0,540.0,960.0
p3115hsa4s1,2,1450.0,486.0,864.0
p3117myjrzr,2,436.0,540.0,960.0
u3139jcz1ca,2,455.0,486.0,864.0
g0975tuaql4,2,2276.0,864.0,486.0
p0978fvc5uq,2,417.0,486.0,864.0
a3135825xhy,2,453.0,486.0,864.0
r3104ml45oy,2,759.0,864.0,486.0
w31061sjk2h,2,381.0,540.0,960.0
k3109c6qkrg,2,1144.0,486.0,864.0
h3082vh18mi,2,423.0,540.0,960.0
w3113jgj7dt,2,313.0,486.0,864.0
e31045zat0x,2,275.0,486.0,864.0
e3082bb2vvh,2,1123.0,540.0,960.0
q3125w945vj,2,1340.0,864.0,486.0
g3112dju0fr,2,1932.0,486.0,864.0
k0977wsg51s,2,428.0,540.0,960.0
y0977ded6sb,2,1217.0,864.0,486.0
l0977doc7km,2,837.0,486.0,864.0
l3104m6axuo,2,25402.0,864.0,478.0
j0034720m75,2,950.0,864.0,486.0
v3102wsjc5g,2,1139.0,540.0,960.0
l09809p10ms,2,356.0,486.0,864.0
u0978qhf1pk,2,1486.0,540.0,960.0
f31227jie1e,2,441.0,540.0,960.0
c31189szno7,2,4313.0,864.0,486.0
q31251rmhqr,2,723.0,540.0,960.0
l00342rz0wr,2,1175.0,486.0,864.0
z3120w39zia,2,7135.0,864.0,486.0
a31189ow6yn,2,599.0,540.0,940.0
h3117wz4pd3,2,633.0,486.0,864.0
v3102iwwnfz,2,553.0,486.0,864.0
o3100at2tj5,2,256.0,486.0,864.0
e3108ei2don,2,399.0,444.0,960.0
c3082h65hp9,2,633.0,486.0,864.0
v3219t972su,2,552.0,486.0,864.0
w31083bycbj,2,1575.0,864.0,486.0
f09761h1t7l,2,1170.0,486.0,864.0
k3100fym93z,2,1299.0,864.0,486.0
b3104qrlsxr,2,414.0,486.0,864.0
l3113g2s6wi,2,879.0,864.0,486.0
b31087t716a,2,307.0,486.0,864.0
r0977vww6nj,2,1658.0,864.0,486.0
v3118c6pibu,2,1471.0,540.0,960.0
e0976c94q9x,2,376.0,540.0,960.0
x3100mc8s8e,2,404.0,540.0,960.0
n3103nx0cm0,2,1533.0,864.0,486.0
m3125jpooch,2,987.0,864.0,486.0
y3104z06m19,2,548.0,540.0,960.0
e31040axwfr,2,323.0,486.0,864.0
i3141gr90kg,2,1543.0,864.0,486.0
q3140xlpm9f,2,368.0,486.0,864.0
l31085tpnmk,2,816.0,486.0,858.0
q3101curhkm,2,847.0,486.0,864.0
h09771h4h5h,2,1121.0,486.0,864.0
c3106dttgi7,2,578.0,540.0,960.0
d00349j4nu8,2,602.0,486.0,864.0
i31000ytfn2,2,13476.0,864.0,486.0
y3104rn0e5m,2,296.0,486.0,864.0
b0975ah43o2,2,1013.0,540.0,960.0
q3137hz8bl3,2,449.0,486.0,864.0
v31132yp0t8,2,358.0,486.0,864.0
t0977s878z9,2,268.0,540.0,960.0
d0976jrfb5u,2,1320.0,540.0,960.0
i3127ptm62o,2,775.0,540.0,960.0
k0979pnmfpr,2,480.0,540.0,960.0
r09770h09u9,2,2170.0,864.0,486.0
x0975djl8gg,2,887.0,540.0,952.0
z0977714qxb,2,328.0,540.0,960.0
x3078jt6s6z,2,255.0,486.0,864.0
e3100vh8ern,2,1536.0,864.0,486.0
n3124welman,2,1667.0,864.0,486.0
e3123sv7fqg,2,297.0,540.0,960.0
a31366ywl65,2,1094.0,486.0,862.0
m3079aovd9u,2,956.0,486.0,864.0
f3102qxbezl,2,1024.0,540.0,960.0
k3146wajd5g,2,294.0,540.0,960.0
b09773c0y4e,2,1459.0,864.0,486.0
x3115c8745k,2,752.0,540.0,960.0
c3107keyyzd,2,251.0,486.0,864.0
v09787jhk5h,2,722.0,486.0,864.0
p31176z86c8,2,551.0,540.0,960.0
q3145hwgpup,2,377.0,486.0,864.0
n3112fwotgc,2,1963.0,486.0,864.0
q30817hqri5,2,404.0,540.0,960.0
n3111i9la6w,2,1797.0,864.0,486.0
n097631v9ff,2,643.0,864.0,486.0
r310190i4rr,2,365.0,486.0,864.0
m3118iddq06,2,255.0,486.0,864.0
t3100j4r8fw,2,1512.0,486.0,864.0
l3143sbjfqt,2,404.0,540.0,960.0
n3106dph8cw,2,379.0,486.0,864.0
e313073dckq,2,250.0,486.0,864.0
x3148k8uq6y,2,255.0,540.0,960.0
o3140s9nbsf,2,371.0,540.0,960.0
v3106vmppc4,2,1175.0,864.0,486.0
o3153bs1n44,2,1217.0,486.0,864.0
x31365n9yyv,2,909.0,540.0,960.0
v3108y0x8ac,2,193.0,540.0,960.0
d3145ayquk8,2,396.0,486.0,864.0
c0034jmo5h8,2,1101.0,486.0,864.0
x3116nvl898,2,1119.0,486.0,640.0
t31118bp5gl,2,708.0,540.0,960.0
n3138das7ho,2,314.0,540.0,960.0
s3111mqmau4,2,1080.0,540.0,960.0
n3127o6s3yn,2,1443.0,864.0,486.0
j3105nevdma,2,1017.0,486.0,864.0
k3127wi3vxn,2,1719.0,432.0,864.0
z31015cm066,2,773.0,540.0,960.0
d0977ycbwqn,2,568.0,540.0,960.0
t31025dy8jg,2,772.0,486.0,864.0
b3104bjgcdr,2,545.0,486.0,864.0
c09807z8hpy,2,588.0,540.0,960.0
t3104u72fq4,2,263.0,486.0,864.0
v31097vryvt,2,250.0,486.0,864.0
o31255nzu1z,2,1798.0,864.0,486.0
c0980i2jj7j,2,751.0,540.0,960.0
d31169ksffa,2,820.0,486.0,864.0
z3130hsibv2,2,396.0,486.0,864.0
g3105c8vinc,2,277.0,486.0,864.0
e0976drkh78,2,349.0,540.0,960.0
h3104r7xwze,2,755.0,540.0,960.0
m31029j8q42,2,210.0,540.0,960.0
j097682dhx9,2,383.0,540.0,960.0
e3109yz5as2,2,973.0,540.0,960.0
w3116cvqst0,2,420.0,486.0,864.0
t31083fhq85,2,827.0,486.0,864.0
b3116bum6ax,2,1048.0,540.0,960.0
b31084k5ffy,2,287.0,540.0,960.0
p0978i8hfqh,2,3537.0,864.0,486.0
x31059tl54g,2,305.0,486.0,864.0
p3102f8op3i,2,250.0,486.0,864.0
s3144yuwzv2,2,1357.0,864.0,486.0
g0975iwe53j,2,1032.0,540.0,952.0
m3079jujcxu,2,1195.0,864.0,486.0
l31075oyiy6,2,602.0,486.0,864.0
i0980jc9fjc,2,2198.0,864.0,486.0
p3117bu2lfy,2,1176.0,486.0,864.0
b0977odfc02,2,1243.0,486.0,864.0
h3109z6mnzu,2,846.0,540.0,960.0
j31546yzbac,2,1911.0,864.0,486.0
u3104bvlol4,2,757.0,540.0,960.0
e31180vzn3j,2,509.0,540.0,960.0
s31536stsjw,2,458.0,486.0,864.0
f3116zeighh,2,1994.0,864.0,486.0
x3081vieqkr,2,538.0,540.0,960.0
w0978vkopys,2,788.0,540.0,960.0
d3116uj8oa8,2,369.0,540.0,960.0
v3102hup82i,2,1537.0,864.0,486.0
s3110ggvk4t,2,1439.0,540.0,960.0
w0975lt9h60,2,1374.0,486.0,864.0
l3105xgo85p,2,758.0,486.0,864.0
e31010460cv,2,541.0,486.0,864.0
y3128sdzg0u,2,463.0,540.0,960.0
n3105nx9xpy,2,6314.0,864.0,486.0
j310910s6z9,2,335.0,486.0,864.0
b3116ysq34p,2,1477.0,540.0,960.0
p310468lo9e,2,649.0,540.0,960.0
g31115dft5y,2,1270.0,864.0,486.0
