vid,score,w,h
g31032d6c18,2,486.0,864.0
e3144yfx6t1,2,486.0,864.0
q3082t3t58y,2,540.0,960.0
y3103fmqfue,2,486.0,864.0
q310340dgw8,2,486.0,864.0
a0975tomgte,2,486.0,864.0
g31020i1hxp,2,864.0,486.0
u31214rz97k,2,486.0,864.0
y3107xn2wyy,2,540.0,960.0
d31518d3tfx,2,486.0,864.0
t31355sf7js,2,486.0,864.0
p3140xlypov,2,486.0,864.0
s3111qa740r,2,864.0,486.0
p09768n7ay0,2,540.0,960.0
k3142n3itac,2,864.0,486.0
q3150uzde90,2,540.0,960.0
p3103ywg28w,2,486.0,864.0
c3100ovq66s,2,486.0,864.0
m0976uve71z,2,540.0,960.0
j3115aagwwg,2,540.0,960.0
j3079ic3f8l,2,540.0,960.0
y0975olz5qj,2,486.0,864.0
a3105l0npdy,2,486.0,864.0
z3123p07ghm,2,540.0,960.0
r3108l7ujcb,2,486.0,858.0
z0976snrn84,2,858.0,486.0
o0975ziommq,2,486.0,864.0
i3109zywivr,2,540.0,960.0
p3081nyi1sy,2,486.0,864.0
s3124ig09kv,2,540.0,960.0
k3100cy509y,2,864.0,486.0
v31313cz4cn,2,864.0,486.0
x0976ef3pic,2,864.0,486.0
w31256davbc,2,864.0,486.0
j3134ks99z7,2,486.0,864.0
b31268liq42,2,864.0,486.0
v31422lqfwa,2,540.0,960.0
l0976x9nuqv,2,540.0,960.0
u3125wbhf9i,2,540.0,960.0
u3106lb98l0,2,540.0,960.0
f3135f7xvpb,2,864.0,486.0
i31264bc77t,2,864.0,486.0
z31220406rh,2,540.0,960.0
z31150gi6a6,2,486.0,648.0
n3117ajxeqf,2,540.0,960.0
b3104cidphg,2,486.0,864.0
o0976qfw4ua,2,540.0,960.0
j3124ngryv4,2,540.0,960.0
w3128hqml73,2,864.0,486.0
j3110i7alpv,2,540.0,960.0
v3147kbljg4,2,486.0,864.0
i311674neq2,2,486.0,864.0
u308020o89e,2,486.0,864.0
l31190juzaw,2,540.0,960.0
x31470ht9r6,2,864.0,486.0
f3120gbqpfn,2,486.0,864.0
m3114nld0e9,2,540.0,960.0
c3110359nrx,2,540.0,960.0
i3136alguyw,2,486.0,864.0
j3114yjqcic,2,486.0,864.0
q31257cajp8,2,486.0,864.0
r0977fmzrdk,2,540.0,960.0
r3114es075l,2,540.0,960.0
p3135ybsjbw,2,486.0,864.0
a3104tk4up7,2,540.0,960.0
k3102ydh6k4,2,864.0,486.0
n311803ai9a,2,864.0,486.0
y0975oex7ov,2,540.0,960.0
f3148vc2cqm,2,486.0,864.0
i3112vjyzoo,2,864.0,486.0
b31038b59pd,2,864.0,486.0
d3113sukeb9,2,486.0,864.0
g3137576ti9,2,486.0,864.0
o3114pmxn0n,2,540.0,960.0
w097568b4rv,2,540.0,960.0
x3102jcaf9h,2,486.0,864.0
q0979kkt9ro,2,486.0,864.0
h3081qh78zs,2,540.0,960.0
z3109isv745,2,486.0,864.0
x3115oibw6q,2,864.0,486.0
a310214vqul,2,486.0,864.0
r09778nmcvc,2,864.0,486.0
o3139sohsgp,2,486.0,864.0
a3112cq2geq,2,486.0,864.0
w3106zqa1ri,2,540.0,960.0
i31089w4ow5,2,486.0,864.0
b3081naw556,2,486.0,864.0
t0977x2y40b,2,864.0,486.0
p3102nndfm0,2,486.0,864.0
m3118vmun5x,2,540.0,960.0
u3117gys7pv,2,540.0,960.0
d0977e0r299,2,540.0,960.0
c31110bwo82,2,486.0,864.0
y3079xqi82q,2,540.0,960.0
z0976e5p1co,2,540.0,960.0
f3146cp6405,2,864.0,486.0
g3103vatenh,2,864.0,486.0
n31094o9kz9,2,864.0,486.0
u3115j57016,2,540.0,960.0
w3117tgnnw3,2,540.0,960.0
q0976urmjoi,2,486.0,864.0
k3100fe4enw,2,864.0,486.0
z3110hqanlw,2,444.0,960.0
f3153lczre9,2,486.0,864.0
d31162fxe4r,2,486.0,864.0
f0034t01rqz,2,486.0,864.0
q3130wxro4o,2,486.0,858.0
a3133gxrv4t,2,486.0,864.0
b3138u6h0ds,2,486.0,864.0
j31239burts,2,540.0,960.0
g0976qe0qel,2,486.0,864.0
x3102qbmzgk,2,864.0,486.0
f3102vcbesg,2,486.0,864.0
f3100n4zj5v,2,864.0,486.0
l3126jbhaal,2,486.0,864.0
t3082ot570x,2,864.0,486.0
y3110ty7v93,2,540.0,960.0
l3134ccrhf8,2,486.0,864.0
e3101de636l,2,486.0,864.0
l3118pxmpc7,2,486.0,864.0
w3121kezxpf,2,864.0,486.0
x0034nmtkjo,2,486.0,864.0
m3079y5glt8,2,486.0,864.0
d3079a0gpl1,2,486.0,864.0
c097556xhnv,2,540.0,960.0
k3107169xbt,2,486.0,864.0
j3133di4rsb,2,486.0,864.0
s3141okqp4f,2,486.0,864.0
o312119ktbl,2,486.0,864.0
z3120exkz2a,2,540.0,960.0
q3112obxgei,2,486.0,864.0
o0977hofbi2,2,540.0,960.0
p09750mg5bj,2,486.0,864.0
p3104uvryjz,2,864.0,486.0
b3133dyd44f,2,864.0,486.0
a311358qxvd,2,540.0,960.0
m3114ma5hs9,2,486.0,864.0
q31516zeuct,2,486.0,864.0
u0034dtpl9g,2,864.0,486.0
k3078uue1k6,2,486.0,864.0
r3152ozg9go,2,864.0,486.0
p09774g2xua,2,540.0,960.0
y3120mzwcay,2,864.0,486.0
n31431ab5q7,2,864.0,486.0
u3149zmgcnw,2,486.0,864.0
f3123l71rnd,2,486.0,864.0
o3149pfpmmt,2,486.0,864.0
a31375ezjyw,2,540.0,960.0
r3078u7aw2n,2,486.0,864.0
m3100n42uzt,2,486.0,864.0
w31135jkvyn,2,486.0,850.0
o31527m37ta,2,486.0,864.0
o0979qvnk0y,2,864.0,486.0
p3112xrl5ac,2,864.0,486.0
k3150chixq5,2,864.0,476.0
v31332z3ews,2,864.0,486.0
w31041uxb44,2,486.0,864.0
s00342m5zdr,2,486.0,864.0
t31512twj0e,2,486.0,864.0
b3110gmdfhx,2,540.0,960.0
a3100axivck,2,540.0,960.0
x3102afmg6g,2,864.0,486.0
u0976x3w2yk,2,540.0,960.0
a3100fshkbp,2,540.0,960.0
r31234vh5zc,2,864.0,486.0
l3103875jjm,2,486.0,864.0
c0976p64vd7,2,864.0,486.0
q3142k5d4bn,2,864.0,486.0
i313577misk,2,864.0,486.0
b3139um7imm,2,864.0,486.0
d311741cu8f,2,540.0,960.0
u0976uixo2v,2,486.0,864.0
p31122t95qc,2,486.0,864.0
i3111b8gy5d,2,864.0,486.0
s3152a88ykr,2,486.0,864.0
k09752xp811,2,486.0,864.0
v3154e6cgfh,2,486.0,864.0
r31057mam6g,2,540.0,960.0
u09778ur0er,2,486.0,864.0
v0977h9p7j5,2,486.0,864.0
y0979ug5up1,2,486.0,864.0
f3119yjgfpb,2,540.0,960.0
f3104uuwlgh,2,540.0,960.0
f3100l1izvi,2,540.0,960.0
g31163mzd8a,2,540.0,960.0
u0976hc263w,2,864.0,486.0
h31246mkvz6,2,486.0,864.0
w3100dgg9n9,2,486.0,864.0
w3113rhi63i,2,864.0,486.0
u3152w0zxyx,2,864.0,486.0
g3127f82qg1,2,864.0,486.0
g3151ompa2h,2,486.0,864.0
m0978nboae1,2,486.0,864.0
m3109leil1w,2,486.0,864.0
e31383rly0b,2,864.0,486.0
p310033wy7m,2,540.0,952.0
i3135nibhqr,2,486.0,864.0
u09780aatqm,2,540.0,950.0
m3145i3jnzk,2,486.0,864.0
x3126tufavm,2,486.0,864.0
x3104x3vjh5,2,540.0,960.0
w3107w3bgme,2,540.0,960.0
d0976j58b3d,2,486.0,864.0
l30829hmaoe,2,486.0,864.0
z3079jwpyeu,2,864.0,486.0
s3081ppqno7,2,864.0,486.0
e3143k3re94,2,864.0,486.0
m3078njh10t,2,486.0,864.0
i3105ywbv59,2,864.0,486.0
v3120f75cfi,2,540.0,960.0
b09794900jv,2,864.0,486.0
v3150e9h0iw,2,486.0,864.0
j3082yu3d87,2,486.0,864.0
l3105xyayu4,2,540.0,960.0
e3082li0x2h,2,540.0,960.0
r3078c5mcge,2,486.0,864.0
o308081qwed,2,486.0,864.0
v3146e829u9,2,486.0,864.0
v003468gzgv,2,486.0,864.0
d0976y9lslx,2,864.0,486.0
b3105ujiwtf,2,540.0,960.0
e3112iv8nmb,2,486.0,864.0
q31238bahxf,2,486.0,864.0
s0975h5pl72,2,486.0,864.0
r0979vjoh87,2,864.0,486.0
i3082w0hjwr,2,486.0,864.0
v3139nu7h75,2,486.0,864.0
s0979rmqim8,2,864.0,486.0
l3104r9xlk4,2,486.0,864.0
r3146zsr0a7,2,864.0,486.0
w3150umh2b2,2,486.0,864.0
d31349snhzh,2,486.0,864.0
k31387ffhc4,2,864.0,486.0
t31383ou43m,2,540.0,960.0
p3100sn2m1g,2,486.0,858.0
y3103a5mf85,2,864.0,486.0
l3114ntfsmr,2,540.0,960.0
t311182l5ew,2,540.0,960.0
d3078pkr5ap,2,864.0,486.0
b0976kpcz7x,2,486.0,864.0
g0978dtvfgc,2,540.0,960.0
v3111bvnqva,2,540.0,960.0
e3105tixynx,2,864.0,486.0
m3143s1bm7o,2,486.0,864.0
e3112qwzo18,2,486.0,864.0
w31153c4fjc,2,486.0,864.0
r0034avxvx2,2,864.0,486.0
i0979c65wt5,2,486.0,864.0
r3123a4fh9v,2,486.0,864.0
h3115bajym4,2,540.0,960.0
v3131iic5qe,2,486.0,864.0
h3104uf1fqq,2,486.0,864.0
q3134i1cc66,2,864.0,486.0
n0977ttjmn1,2,486.0,864.0
i31437wpzp7,2,864.0,486.0
q0978w69r64,2,864.0,486.0
a3079ix8p0f,2,540.0,960.0
n0980hz3byl,2,486.0,864.0
q31000dhg1g,2,486.0,864.0
j0034htpchw,2,864.0,486.0
w3078yh6aly,2,486.0,864.0
m0975a3en42,2,864.0,486.0
y09754iwai2,2,486.0,864.0
l3107qbdxqc,2,486.0,864.0
r31058ecc2a,2,864.0,486.0
i3141oc99mw,2,486.0,864.0
u0978ick031,2,540.0,960.0
y3102yjny8l,2,540.0,952.0
y3115pzbojv,2,540.0,960.0
g3127zjudbv,2,540.0,960.0
l0976qmtft6,2,540.0,960.0
o31467uhzop,2,540.0,960.0
n3126jpe2rj,2,540.0,960.0
a3104qpp2x6,2,486.0,864.0
f310210jzwv,2,864.0,486.0
m0979aykjwk,2,540.0,960.0
g3142yqviv9,2,864.0,486.0
s3104pywu92,2,540.0,960.0
w31011dhsbl,2,540.0,960.0
o3133e0xs2g,2,486.0,864.0
r313561b40p,2,864.0,486.0
o0034hygql4,2,486.0,864.0
e31072m5vbd,2,486.0,864.0
r3082lt6qji,2,486.0,864.0
a31065f9ry3,2,486.0,864.0
b0034y3yyq6,2,486.0,864.0
y3114xrp9a5,2,540.0,960.0
d0979cmsp6n,2,864.0,486.0
s3081si66qh,2,486.0,864.0
a3108t7u3mk,2,486.0,864.0
f31376gac1h,2,486.0,864.0
s3104xbhg16,2,540.0,960.0
u3112y8zqm0,2,486.0,864.0
w3116f4z63g,2,540.0,960.0
x3115mhcmle,2,540.0,960.0
i312118q977,2,864.0,486.0
e31432d04fk,2,486.0,864.0
p3152yaig07,2,486.0,864.0
z3115f26j6q,2,540.0,960.0
y31314y7c36,2,486.0,864.0
z3112wus0a6,2,540.0,960.0
v31047nkyyf,2,864.0,486.0
x3150xuxmu9,2,864.0,486.0
u31531ow7ts,2,486.0,864.0
x31359dba8m,2,486.0,864.0
o3081gdjhsv,2,486.0,864.0
o0976zeef16,2,540.0,960.0
t0978hq9myu,2,486.0,864.0
q0978v928tk,2,858.0,486.0
g3101yi1owx,2,486.0,864.0
z0979lzdh2i,2,864.0,486.0
e31431t9snl,2,540.0,960.0
i3117q15rc5,2,486.0,864.0
f3103ijr4r1,2,486.0,864.0
f3079rjc33e,2,864.0,486.0
r3107uic1wr,2,486.0,864.0
w3141rzewee,2,540.0,960.0
y3103hq72u6,2,486.0,864.0
h31455vb60d,2,864.0,486.0
i0977z58b23,2,486.0,864.0
f3082fzqv50,2,864.0,486.0
q31379dzdoq,2,486.0,864.0
p3146dpevcy,2,864.0,486.0
l3100j710gs,2,864.0,486.0
v3078hfftql,2,486.0,864.0
c00343g8w3b,2,486.0,864.0
g3102ib0kty,2,864.0,486.0
z3103ey3gk6,2,864.0,486.0
b312131h5fe,2,486.0,864.0
u31533u357t,2,456.0,960.0
y09791bm3gb,2,486.0,864.0
h3114bzldm2,2,486.0,864.0
w3124x70gvl,2,486.0,864.0
n3079hip65u,2,864.0,486.0
y098002tpkq,2,486.0,864.0
w3122pbvkiu,2,540.0,960.0
r3140js9pwn,2,864.0,486.0
o3082cjy09h,2,540.0,960.0
p0978qk7568,2,486.0,864.0
y3078we5zd7,2,540.0,960.0
i3105nlmfyb,2,486.0,864.0
i315166fhmz,2,486.0,864.0
b3111gslimr,2,486.0,864.0
b31083u1q7e,2,540.0,960.0
r3115n58p4j,2,486.0,864.0
z31512phawt,2,486.0,864.0
w31515adz8e,2,486.0,790.0
l3151obkzz7,2,864.0,486.0
d3151qr9yoi,2,486.0,864.0
i0978e3ekgn,2,864.0,486.0
f31010amiw7,2,486.0,864.0
r3151a9jz0h,2,486.0,864.0
u0979hlusv5,2,540.0,960.0
c3137idr74o,2,864.0,486.0
m3104ojbvdo,2,864.0,486.0
x097856swhc,2,540.0,960.0
h3114v4mh41,2,540.0,960.0
x3137iyimoy,2,864.0,486.0
d097708bbq6,2,540.0,960.0
n3125wcjtrl,2,864.0,486.0
b0034ezcrat,2,486.0,864.0
b3079rocgit,2,486.0,864.0
i3112kci76n,2,486.0,864.0
s0977an5yna,2,864.0,486.0
u3116wbmgmd,2,540.0,960.0
n09777p7f7x,2,486.0,864.0
q3120dtsvpl,2,540.0,960.0
s3104duviis,2,486.0,864.0
c0034ps6iaq,2,486.0,864.0
c3135v7qum0,2,540.0,960.0
u3129k3i2gl,2,486.0,864.0
e3107jioa62,2,486.0,864.0
m3121lojxcu,2,486.0,864.0
m0980k1mkua,2,864.0,486.0
c3117bytopj,2,540.0,960.0
g0974n6wdez,2,486.0,864.0
n3129ns72hq,2,864.0,486.0
o0978pr4swr,2,486.0,864.0
y31466rjj8j,2,486.0,864.0
q3109hb76g7,2,486.0,864.0
y3117u89fnj,2,540.0,960.0
q3107xpg79s,2,540.0,960.0
r0980ouobzz,2,540.0,960.0
e3108i1gpcn,2,486.0,864.0
p3107z4d7tf,2,864.0,486.0
v3104f5y2wb,2,486.0,864.0
h3117bv44ru,2,540.0,960.0
l31420udu8a,2,864.0,486.0
e3123dlpiny,2,486.0,864.0
s3115s7vrbt,2,540.0,960.0
j0978if62zl,2,540.0,960.0
p31454ta4h4,2,864.0,486.0
r3112xhbmuu,2,486.0,864.0
w3119w5t1v8,2,486.0,864.0
m3079p7ia8k,2,864.0,486.0
p3105wbazcw,2,486.0,864.0
c3101vi5xaq,2,540.0,952.0
u3115anuka0,2,540.0,960.0
n3131t05mya,2,540.0,960.0
n3101oxjfv0,2,864.0,486.0
t3150x5y342,2,864.0,486.0
c0975wakesp,2,486.0,864.0
p31003zjdt9,2,864.0,486.0
g3104xepxvu,2,864.0,486.0
q31047k4yqh,2,864.0,486.0
c3105y0xemg,2,400.0,864.0
q0976v3jyhv,2,540.0,960.0
v0034u3c26u,2,864.0,486.0
i3139fnmcnj,2,486.0,864.0
i310066m8et,2,486.0,864.0
g3081gcra06,2,864.0,486.0
n31183ji4ac,2,540.0,960.0
u0978xzo42f,2,864.0,486.0
l30804cvw2x,2,486.0,864.0
j30792l7k8f,2,486.0,864.0
y3123bcffa4,2,486.0,864.0
o3122h48ean,2,864.0,486.0
d0976cr9vwk,2,486.0,864.0
p31161m0kjs,2,864.0,486.0
z3107swaxi0,2,540.0,960.0
b3151y1jpig,2,864.0,486.0
e3119pj9yyj,2,486.0,864.0
j31153tkaso,2,864.0,486.0
r31269wha5k,2,486.0,864.0
j3152lhrwm2,2,864.0,486.0
l3102veneeb,2,486.0,864.0
k3121uvi2g0,2,486.0,864.0
a31463k5egc,2,540.0,960.0
t3152k37ndp,2,864.0,486.0
o3109luwkhy,2,540.0,960.0
o3110zphw46,2,540.0,952.0
l0976f377ha,2,540.0,960.0
o00340m9vou,2,486.0,864.0
x31066gkau0,2,864.0,486.0
i3143u1zvok,2,864.0,486.0
o0977h4x03a,2,486.0,864.0
s3121ykjc3z,2,864.0,486.0
y3102ze7go5,2,486.0,864.0
x09781zms37,2,864.0,486.0
d3111fecitm,2,486.0,864.0
k313144odae,2,540.0,960.0
t3107g1t89d,2,864.0,486.0
i31117lbfw0,2,486.0,864.0
h0034xde9x5,2,864.0,486.0
q3101h7qd51,2,864.0,486.0
h31106vq6mn,2,864.0,486.0
j0980d4kzhj,2,540.0,960.0
m3126pmgawy,2,540.0,960.0
c3079qt70xd,2,864.0,486.0
y3118x7mycp,2,864.0,486.0
c0977ssbdxs,2,486.0,864.0
b3107gl7x28,2,864.0,486.0
j3113cyqf73,2,540.0,960.0
d3101k7rbbh,2,486.0,864.0
g310979l296,2,540.0,960.0
r3120245rak,2,486.0,864.0
l0976hw0z9t,2,540.0,960.0
s3112g7kby1,2,540.0,960.0
f3108wqi77f,2,540.0,960.0
q31386kpw89,2,864.0,486.0
i3112z9xbk6,2,864.0,486.0
s3111mhxqvv,2,864.0,486.0
l31424hlm3n,2,864.0,486.0
n31082a73gv,2,864.0,486.0
w3142k4mmpl,2,864.0,486.0
a3120ffvva1,2,540.0,960.0
b0975g6djqt,2,864.0,486.0
v3106avzw5u,2,486.0,864.0
j31199rj7rz,2,864.0,486.0
z3151sg8dxs,2,486.0,864.0
c3114r0uwvc,2,486.0,864.0
x0975fxuy1q,2,486.0,864.0
d31029lmzyu,2,486.0,864.0
i3119x4nzl7,2,864.0,486.0
c3121zx1tr6,2,486.0,864.0
t3217mrbodn,2,486.0,864.0
v3217zrebhu,2,486.0,864.0
t3218fc887h,2,486.0,864.0
b3218ahfzq9,2,486.0,864.0
c3217eo04vf,2,486.0,864.0
d32177y6lim,2,864.0,486.0
s3218786w4o,2,486.0,864.0
z3218qe1ivo,2,486.0,864.0
f3217e70rm6,2,540.0,960.0
w3217471qaa,2,540.0,960.0
t3218vcjqqj,2,486.0,864.0
d3218c6xvvr,2,486.0,864.0
j321813mush,2,486.0,864.0
p3218mzq9he,2,486.0,864.0
x3218iy9zyg,2,864.0,486.0
d3217shr74p,2,486.0,864.0
w3217m5aurm,2,486.0,864.0
p3217nxhgep,2,486.0,864.0
p3217oby1u4,2,486.0,864.0
n321776bjxx,2,486.0,864.0
